year,STATE,STATE_POS,status,TOTAL VOTES,BLUE_VOTES,BLUE_PERCENT,BLUE_EV,RED_VOTES,RED_PERCENT,RED_EV,YELLOW_VOTES,YELLOW_PERCENT,YELLOW_EV
1960,Alaska,AK,red,60762,29809,49.1,0.0,30953,50.9,3.0,0,0,0.0
1960,Arizona,AZ,red,398491,176781,44.4,0.0,221241,55.5,4.0,0,0,0.0
1960,California,CA,red,6506578,3224099,49.6,0.0,3259722,50.1,32.0,0,0,0.0
1960,Colorado,CO,red,736236,330629,44.9,0.0,402242,54.6,6.0,0,0,0.0
1960,Florida,FL,red,1544176,748700,48.5,0.0,795476,51.5,10.0,0,0,0.0
1960,Idaho,ID,red,300450,138853,46.2,0.0,161597,53.8,4.0,0,0,0.0
1960,Indiana,IN,red,2135360,952358,44.6,0.0,1175120,55.0,13.0,0,0,0.0
1960,Iowa,IA,red,1273810,550565,43.2,0.0,722381,56.7,10.0,0,0,0.0
1960,Kansas,KS,red,928825,363213,39.1,0.0,561474,60.4,8.0,0,0,0.0
1960,Kentucky,KY,red,1124462,521855,46.4,0.0,602607,53.6,10.0,0,0,0.0
1960,Maine,ME,red,421767,181159,43.0,0.0,240608,57.0,5.0,0,0,0.0
1960,Montana,MT,red,277579,134891,48.6,0.0,141841,51.1,4.0,0,0,0.0
1960,Nebraska,NE,red,613095,232542,37.9,0.0,380553,62.1,6.0,0,0,0.0
1960,New Hampshire,NH,red,295761,137772,46.6,0.0,157989,53.4,4.0,0,0,0.0
1960,North Dakota,ND,red,278431,123963,44.5,0.0,154310,55.4,4.0,0,0,0.0
1960,Ohio,OH,red,4161859,1944248,46.7,0.0,2217611,53.3,25.0,0,0,0.0
1960,Oklahoma,OK,red,903150,370111,41.0,0.0,533039,59.0,7.0,0,0,0.0
1960,Oregon,OR,red,776421,367402,47.3,0.0,408060,52.6,6.0,0,0,0.0
1960,South Dakota,SD,red,306487,128070,41.8,0.0,178417,58.2,4.0,0,0,0.0
1960,Tennessee,TN,red,1051792,481453,45.8,0.0,556577,52.9,11.0,0,0,0.0
1960,Utah,UT,red,374709,169248,45.2,0.0,205361,54.8,4.0,0,0,0.0
1960,Vermont,VT,red,167324,69186,41.3,0.0,98131,58.6,3.0,0,0,0.0
1960,Virginia,VA,red,771449,362327,47.0,0.0,404521,52.4,12.0,0,0,0.0
1960,Washington,WA,red,1241572,599298,48.3,0.0,629273,50.7,9.0,0,0,0.0
1960,Wisconsin,WI,red,1729082,830805,48.0,0.0,895175,51.8,12.0,0,0,0.0
1960,Wyoming,WY,red,140782,63331,45.0,0.0,77451,55.0,3.0,0,0,0.0
1960,Alabama,AL,blue,570225,324050,56.8,5.0,237981,41.7,0.0,0,0,0.0
1960,Arkansas,AR,blue,428509,215049,50.2,8.0,184508,43.1,0.0,0,0,0.0
1960,Connecticut,CT,blue,1222883,657055,53.7,8.0,565813,46.3,0.0,0,0,0.0
1960,Delaware,DE,blue,196683,99590,50.6,3.0,96373,49.0,0.0,0,0,0.0
1960,Georgia,GA,blue,733349,458638,62.5,12.0,274472,37.4,0.0,0,0,0.0
1960,Hawaii,HI,blue,184705,92410,50.0,3.0,92295,50.0,0.0,0,0,0.0
1960,Illinois,IL,blue,4757409,2377846,50.0,27.0,2368988,49.8,0.0,0,0,0.0
1960,Louisiana,LA,blue,807891,407339,50.4,10.0,230980,28.6,0.0,0,0,0.0
1960,Maryland,MD,blue,1055349,565808,53.6,9.0,489538,46.4,0.0,0,0,0.0
1960,Massachusetts,MA,blue,2469480,1487174,60.2,16.0,976750,39.6,0.0,0,0,0.0
1960,Michigan,MI,blue,3318097,1687269,50.9,20.0,1620428,48.8,0.0,0,0,0.0
1960,Minnesota,MN,blue,1541887,779933,50.6,11.0,757915,49.2,0.0,0,0,0.0
1960,Mississippi,MS,blue,298171,108362,36.3,0.0,73561,24.7,0.0,0,0,0.0
1960,Missouri,MO,blue,1934422,972201,50.3,13.0,962221,49.7,0.0,0,0,0.0
1960,Nevada,NV,blue,107267,54880,51.2,3.0,52387,48.8,0.0,0,0,0.0
1960,New Jersey,NJ,blue,2773111,1385415,50.0,16.0,1363324,49.2,0.0,0,0,0.0
1960,New Mexico,NM,blue,311107,156027,50.2,4.0,153733,49.4,0.0,0,0,0.0
1960,New York,NY,blue,7291079,3830085,52.5,45.0,3446419,47.3,0.0,0,0,0.0
1960,North Carolina,NC,blue,1368556,713136,52.1,14.0,655420,47.9,0.0,0,0,0.0
1960,Pennsylvania,PA,blue,5006541,2556282,51.1,32.0,2439956,48.7,0.0,0,0,0.0
1960,Rhode Island,RI,blue,405535,258032,63.6,4.0,147502,36.4,0.0,0,0,0.0
1960,South Carolina,SC,blue,386688,198129,51.2,8.0,188558,48.8,0.0,0,0,0.0
1960,Texas,TX,blue,2311084,1167567,50.5,24.0,1121310,48.5,0.0,0,0,0.0
1960,West Virginia,WV,blue,837781,441786,52.7,8.0,395995,47.3,0.0,0,0,0.0
1964,Alabama,AL,red,689818,210733,30.5,0.0,479085,69.5,10.0,0,0,0.0
1964,Arizona,AZ,red,480770,237753,49.5,0.0,242535,50.4,5.0,0,0,0.0
1964,Georgia,GA,red,1139335,522556,45.9,0.0,616584,54.1,12.0,0,0,0.0
1964,Louisiana,LA,red,896293,387068,43.2,0.0,509225,56.8,10.0,0,0,0.0
1964,Mississippi,MS,red,409146,52618,12.9,0.0,356528,87.1,7.0,0,0,0.0
1964,South Carolina,SC,red,524779,215723,41.1,0.0,309048,58.9,8.0,0,0,0.0
1964,Alaska,AK,blue,67259,44329,65.9,3.0,22930,34.1,0.0,0,0,0.0
1964,Arkansas,AR,blue,560426,314197,56.1,6.0,243264,43.4,0.0,0,0,0.0
1964,California,CA,blue,7057586,4171877,59.1,40.0,2879108,40.8,0.0,0,0,0.0
1964,Colorado,CO,blue,776986,476024,61.3,6.0,296767,38.2,0.0,0,0,0.0
1964,Connecticut,CT,blue,1218578,826269,67.8,8.0,390996,32.1,0.0,0,0,0.0
1964,Delaware,DE,blue,201320,122704,60.9,3.0,78078,38.8,0.0,0,0,0.0
1964,Florida,FL,blue,1854481,948540,51.1,14.0,905941,48.9,0.0,0,0,0.0
1964,Hawaii,HI,blue,207271,163249,78.8,4.0,44022,21.2,0.0,0,0,0.0
1964,Idaho,ID,blue,292477,148920,50.9,4.0,143557,49.1,0.0,0,0,0.0
1964,Illinois,IL,blue,4702841,2796833,59.5,26.0,1905946,40.5,0.0,0,0,0.0
1964,Indiana,IN,blue,2091606,1170848,56.0,13.0,911118,43.6,0.0,0,0,0.0
1964,Iowa,IA,blue,1184539,733030,61.9,9.0,449148,37.9,0.0,0,0,0.0
1964,Kansas,KS,blue,857901,464028,54.1,7.0,386579,45.1,0.0,0,0,0.0
1964,Kentucky,KY,blue,1046105,669659,64.0,9.0,372977,35.7,0.0,0,0,0.0
1964,Maine,ME,blue,380965,262264,68.8,4.0,118701,31.2,0.0,0,0,0.0
1964,Maryland,MD,blue,1116457,730912,65.5,10.0,385495,34.5,0.0,0,0,0.0
1964,Massachusetts,MA,blue,2344798,1786422,76.2,14.0,549727,23.4,0.0,0,0,0.0
1964,Michigan,MI,blue,3203102,2136615,66.7,21.0,1060152,33.1,0.0,0,0,0.0
1964,Minnesota,MN,blue,1554462,991117,63.8,10.0,559624,36.0,0.0,0,0,0.0
1964,Missouri,MO,blue,1817879,1164344,64.0,12.0,653535,36.0,0.0,0,0,0.0
1964,Montana,MT,blue,278628,164246,58.9,4.0,113032,40.6,0.0,0,0,0.0
1964,Nebraska,NE,blue,584154,307307,52.6,5.0,276847,47.4,0.0,0,0,0.0
1964,Nevada,NV,blue,135433,79339,58.6,3.0,56094,41.4,0.0,0,0,0.0
1964,New Hampshire,NH,blue,288093,184064,63.9,4.0,104029,36.1,0.0,0,0,0.0
1964,New Jersey,NJ,blue,2847663,1868231,65.6,17.0,964174,33.9,0.0,0,0,0.0
1964,New Mexico,NM,blue,328645,194015,59.0,4.0,132838,40.4,0.0,0,0,0.0
1964,New York,NY,blue,7166275,4913102,68.6,43.0,2243559,31.3,0.0,0,0,0.0
1964,North Carolina,NC,blue,1424983,800139,56.2,13.0,624844,43.8,0.0,0,0,0.0
1964,North Dakota,ND,blue,258389,149784,58.0,4.0,108207,41.9,0.0,0,0,0.0
1964,Ohio,OH,blue,3969196,2498331,62.9,26.0,1470865,37.1,0.0,0,0,0.0
1964,Oklahoma,OK,blue,932499,519834,55.7,8.0,412665,44.3,0.0,0,0,0.0
1964,Oregon,OR,blue,786305,501017,63.7,6.0,282779,36.0,0.0,0,0,0.0
1964,Pennsylvania,PA,blue,4822690,3130954,64.9,29.0,1673657,34.7,0.0,0,0,0.0
1964,Rhode Island,RI,blue,390091,315463,80.9,4.0,74615,19.1,0.0,0,0,0.0
1964,South Dakota,SD,blue,293118,163010,55.6,4.0,130108,44.4,0.0,0,0,0.0
